,index,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
11,19,Abbotsford,42 Valiant St,2,h,116,S,Biggin,17/09/2016,2.5,3067,2,1,1.0,150,73.0,1985.0,Yarra,-37.8011,145.0004,Northern Metropolitan,4019
12,20,Abbotsford,3/72 Charles St,4,h,200,PI,Kay,18/03/2017,2.5,3067,4,2,2.0,780,135.0,1900.0,Yarra,-37.8073,144.9952,Northern Metropolitan,4019
13,22,Abbotsford,138/56 Nicholson St,3,u,154,S,Jellis,18/03/2017,2.5,3067,3,2,2.0,4290,27.0,1970.0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019
14,23,Abbotsford,6/219 Nicholson St,2,u,42,S,Collins,18/06/2016,2.5,3067,2,1,1.0,0,60.0,1970.0,Yarra,-37.8015,144.9972,Northern Metropolitan,4019
15,24,Abbotsford,52a William St,2,h,156,PI,Biggin,18/06/2016,2.5,3067,2,2,1.0,124,135.0,2013.0,Yarra,-37.8079,144.9977,Northern Metropolitan,4019
16,25,Abbotsford,49 Park St,2,h,197,S,Marshall,19/11/2016,2.5,3067,2,1,0.0,147,85.0,1900.0,Yarra,-37.808,144.994,Northern Metropolitan,4019
17,27,Abbotsford,48 Abbotsford St,3,h,223,PI,Nelson,22/08/2016,2.5,3067,3,3,1.0,166,174.0,2012.0,Yarra,-37.8017,145.0001,Northern Metropolitan,4019
18,28,Abbotsford,116/56 Nicholson St,1,u,34,S,Jellis,22/08/2016,2.5,3067,1,1,1.0,0,50.0,1970.0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019
19,29,Abbotsford,159 Park St,2,h,163,S,Nelson,22/08/2016,2.5,3067,2,2,2.0,98,128.0,1920.0,Yarra,-37.8005,144.9952,Northern Metropolitan,4019
20,31,Abbotsford,166 Gipps St,3,h,193,S,Biggin,25/02/2017,2.5,3067,3,2,2.0,147,18.0,1970.0,Yarra,-37.805,144.9943,Northern Metropolitan,4019
21,32,Abbotsford,60 Stafford St,3,h,193,S,Biggin,25/02/2017,2.5,3067,3,1,1.0,168,124.0,1950.0,Yarra,-37.8007,144.9958,Northern Metropolitan,4019
22,33,Abbotsford,11/205 Gipps St,1,u,36,S,Nelson,26/07/2016,2.5,3067,1,1,1.0,0,50.0,2013.0,Yarra,-37.8055,144.9961,Northern Metropolitan,4019
23,34,Abbotsford,47 Studley St,2,h,172,S,Jellis,27/11/2016,2.5,3067,2,1,0.0,162,91.0,1900.0,Yarra,-37.8016,144.9956,Northern Metropolitan,4019
24,35,Abbotsford,45 Yarra St,3,h,174,SP,Jellis,27/11/2016,2.5,3067,3,2,1.0,120,128.0,1998.0,Yarra,-37.8022,144.9954,Northern Metropolitan,4019
25,36,Abbotsford,200 Nicholson St,2,h,140,S,Nelson,28/05/2016,2.5,3067,2,1,0.0,182,82.0,1900.0,Yarra,-37.8021,144.9976,Northern Metropolitan,4019
26,37,Abbotsford,27 Charles St,2,h,143,S,Biggin,30/07/2016,2.5,3067,2,1,1.0,172,81.0,1930.0,Yarra,-37.8086,144.9946,Northern Metropolitan,4019
27,38,Airport West,154 Halsey Rd,3,t,107,PI,Nelson,3/9/2016,13.5,3042,3,2,1.0,303,225.0,2016.0,Moonee Valley,-37.718,144.878,Western Metropolitan,3464
28,39,Airport West,50 Bedford St,3,h,86,VB,Nelson,3/12/2016,13.5,3042,3,2,1.0,0,145.0,1965.0,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464
29,40,Airport West,50 Bedford St,3,h,93,SP,Nelson,4/3/2017,13.5,3042,3,2,1.0,0,145.0,1965.0,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464
30,41,Airport West,23 Hart St,2,h,62,S,Nelson,4/3/2017,13.5,3042,2,1,1.0,272,84.0,1950.0,Moonee Valley,-37.7294,144.888,Western Metropolitan,3464
31,42,Airport West,1/80 Hawker St,3,t,80,S,Brad,4/3/2017,13.5,3042,3,2,2.0,239,134.0,2009.0,Moonee Valley,-37.7218,144.8837,Western Metropolitan,3464
32,43,Airport West,1/37 Hillside Gr,3,h,61,S,Maddison,4/3/2017,13.5,3042,2,1,1.0,290,116.0,1980.0,Moonee Valley,-37.7273,144.8744,Western Metropolitan,3464
33,44,Airport West,2/49 McIntosh St,2,u,42,VB,Barry,4/3/2017,13.5,3042,2,1,1.0,168,86.0,2011.0,Moonee Valley,-37.7215,144.8864,Western Metropolitan,3464
34,46,Airport West,36 Roberts Rd,4,h,96,S,Considine,6/8/2016,13.5,3042,3,1,2.0,597,127.0,1970.0,Moonee Valley,-37.7259,144.8792,Western Metropolitan,3464
35,47,Airport West,11 Harrington Rd,6,h,85,SP,Barry,7/5/2016,13.5,3042,6,3,2.0,976,186.0,1980.0,Moonee Valley,-37.7239,144.8735,Western Metropolitan,3464
36,48,Airport West,2/252 Parer Rd,2,t,32,S,Barry,7/5/2016,13.5,3042,2,1,1.0,110,90.0,2015.0,Moonee Valley,-37.7216,144.871,Western Metropolitan,3464
37,49,Airport West,3/19 Hart St,2,u,45,S,Barry,7/11/2016,13.5,3042,2,1,1.0,141,73.0,2013.0,Moonee Valley,-37.7298,144.8883,Western Metropolitan,3464
38,50,Airport West,2/62 Clydesdale Rd,2,u,48,S,Nelson,10/9/2016,13.5,3042,2,1,1.0,120,94.0,2012.0,Moonee Valley,-37.7234,144.8792,Western Metropolitan,3464
39,51,Airport West,3 Deidre Ct,3,h,117,PI,Rendina,10/9/2016,13.5,3042,3,1,6.0,1063,133.0,1975.0,Moonee Valley,-37.7249,144.8728,Western Metropolitan,3464
40,52,Airport West,13 Etzel St,3,h,100,S,Nelson,10/12/2016,13.5,3042,3,1,1.0,0,105.0,1950.0,Moonee Valley,-37.7217,144.8783,Western Metropolitan,3464
41,53,Airport West,1/43 Cameron St,3,u,90,S,Nelson,11/2/2017,13.5,3042,3,1,1.0,265,130.0,1993.0,Moonee Valley,-37.7302,144.8855,Western Metropolitan,3464
42,56,Airport West,2/40 Earl St,3,t,80,PI,Brad,15/10/2016,13.5,3042,3,2,2.0,165,133.0,2009.0,Moonee Valley,-37.727,144.887,Western Metropolitan,3464
43,57,Airport West,180 Parer Rd,3,h,105,S,Barry,16/04/2016,13.5,3042,3,1,2.0,971,113.0,1960.0,Moonee Valley,-37.7186,144.876,Western Metropolitan,3464
44,60,Airport West,174 Parer Rd,2,h,75,S,Barry,16/07/2016,13.5,3042,2,1,1.0,612,100.0,1975.0,Moonee Valley,-37.7187,144.8765,Western Metropolitan,3464
45,61,Airport West,138 Victory Rd,3,h,145,S,Nelson,16/07/2016,13.5,3042,3,2,5.0,612,174.0,1950.0,Moonee Valley,-37.7173,144.8796,Western Metropolitan,3464
46,63,Airport West,6 Kittyhawk St,4,h,94,S,Brad,17/09/2016,13.5,3042,5,3,4.0,531,309.0,1980.0,Moonee Valley,-37.7263,144.8679,Western Metropolitan,3464
47,64,Airport West,478 Fullarton Rd,3,h,101,PI,Barry,18/03/2017,13.5,3042,3,3,2.0,555,192.0,1980.0,Moonee Valley,-37.7285,144.8694,Western Metropolitan,3464
48,65,Airport West,144 Marshall Rd,3,h,83,S,Rendina,18/03/2017,13.5,3042,3,2,2.0,422,126.0,1995.0,Moonee Valley,-37.7164,144.8792,Western Metropolitan,3464
49,67,Airport West,3/7 South Rd,3,t,50,SP,Nelson,18/06/2016,13.5,3042,2,2,1.0,161,101.0,2010.0,Moonee Valley,-37.7231,144.8802,Western Metropolitan,3464
50,68,Airport West,37 North St,3,t,104,SP,Barry,19/11/2016,13.5,3042,3,2,1.0,293,102.0,1960.0,Moonee Valley,-37.72,144.8776,Western Metropolitan,3464
51,69,Airport West,10 Hilbert Rd,3,h,77,S,Barry,22/05/2016,13.5,3042,3,1,1.0,579,113.0,1975.0,Moonee Valley,-37.7226,144.8733,Western Metropolitan,3464
52,71,Airport West,2/13 North St,2,u,44,S,Nelson,22/08/2016,13.5,3042,2,1,1.0,141,76.0,1970.0,Moonee Valley,-37.7202,144.8797,Western Metropolitan,3464
53,77,Airport West,85 Roberts Rd,4,h,118,S,Harcourts,27/11/2016,13.5,3042,4,2,3.0,628,146.0,1975.0,Moonee Valley,-37.7256,144.8739,Western Metropolitan,3464
54,78,Albert Park,105 Kerferd Rd,2,h,190,S,hockingstuart,3/9/2016,3.3,3206,2,1,0.0,120,82.0,1900.0,Port Phillip,-37.8459,144.9555,Southern Metropolitan,3280
55,80,Albert Park,112 Beaconsfield Pde,3,h,490,PI,Buxton,4/3/2017,3.3,3206,3,2,0.0,211,198.0,1890.0,Port Phillip,-37.8481,144.9499,Southern Metropolitan,3280
56,81,Albert Park,94 Graham St,3,h,299,S,Greg,4/3/2017,3.3,3206,3,2,0.0,128,133.0,1890.0,Port Phillip,-37.8452,144.9488,Southern Metropolitan,3280
57,82,Albert Park,396 Montague St,2,h,220,S,RT,4/3/2017,3.3,3206,2,1,0.0,130,81.0,1900.0,Port Phillip,-37.8431,144.9565,Southern Metropolitan,3280
58,85,Albert Park,104 Richardson St,4,h,385,S,Marshall,7/5/2016,3.3,3206,4,2,1.0,153,180.0,1880.0,Port Phillip,-37.8447,144.9523,Southern Metropolitan,3280
59,87,Albert Park,1 Moubray St,3,h,290,VB,Greg,7/11/2016,3.3,3206,3,2,1.0,132,159.0,1996.0,Port Phillip,-37.8415,144.952,Southern Metropolitan,3280
60,88,Albert Park,29 Faussett St,2,h,351,S,Greg,10/9/2016,3.3,3206,2,1,1.0,199,107.0,1900.0,Port Phillip,-37.8422,144.9554,Southern Metropolitan,3280
61,90,Albert Park,24 Kerferd Pl,3,h,290,S,Marshall,10/9/2016,3.3,3206,3,2,1.0,90,122.0,1900.0,Port Phillip,-37.8421,144.9571,Southern Metropolitan,3280
62,92,Albert Park,2 Dundas Pl,3,h,445,S,Cayzer,10/12/2016,3.3,3206,3,2,1.0,177,181.0,1880.0,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3280
63,95,Albert Park,4a Gatehouse La,3,h,208,S,Greg,12/6/2016,3.3,3206,3,2,2.0,0,85.0,2000.0,Port Phillip,-37.8451,144.9511,Southern Metropolitan,3280
64,98,Albert Park,65 Graham St,2,h,199,S,Greg,15/10/2016,3.3,3206,2,1,0.0,149,98.0,1890.0,Port Phillip,-37.8443,144.9481,Southern Metropolitan,3280
65,99,Albert Park,364 Montague St,2,h,245,S,Greg,15/10/2016,3.3,3206,2,1,0.0,141,83.0,1890.0,Port Phillip,-37.8424,144.9562,Southern Metropolitan,3280
66,100,Albert Park,86 Mills St,3,h,328,VB,RT,16/04/2016,3.3,3206,3,2,1.0,211,147.0,1900.0,Port Phillip,-37.847,144.9575,Southern Metropolitan,3280
67,102,Albert Park,97 Page St,3,h,520,S,Greg,18/03/2017,3.3,3206,3,2,0.0,147,146.0,1890.0,Port Phillip,-37.8473,144.9551,Southern Metropolitan,3280
68,103,Albert Park,55 Withers St,4,h,480,VB,Cayzer,18/06/2016,3.3,3206,4,3,1.0,327,254.0,1910.0,Port Phillip,-37.8467,144.9475,Southern Metropolitan,3280
69,105,Albert Park,55 Merton St,3,h,347,SP,Marshall,23/04/2016,3.3,3206,2,1,1.0,120,123.0,1900.0,Port Phillip,-37.8427,144.9546,Southern Metropolitan,3280
70,106,Albert Park,49 Page St,3,h,328,PI,Marshall,24/09/2016,3.3,3206,3,1,1.0,238,131.0,1890.0,Port Phillip,-37.8461,144.9528,Southern Metropolitan,3280
71,107,Albert Park,13/52 Moubray St,1,u,31,S,Marshall,25/02/2017,3.3,3206,1,1,0.0,0,34.0,1970.0,Port Phillip,-37.8421,144.9517,Southern Metropolitan,3280
72,108,Albert Park,115 Page St,4,h,849,S,Marshall,25/02/2017,3.3,3206,4,2,1.0,330,207.0,1910.0,Port Phillip,-37.8477,144.9558,Southern Metropolitan,3280
73,113,Albert Park,27 Barrett St,4,h,355,S,Greg,27/06/2016,3.3,3206,3,2,1.0,183,145.0,1880.0,Port Phillip,-37.8434,144.9495,Southern Metropolitan,3280
74,115,Albert Park,6 Brooke St,2,h,133,S,Greg,28/05/2016,3.3,3206,2,1,0.0,79,68.0,1890.0,Port Phillip,-37.8387,144.9519,Southern Metropolitan,3280
75,117,Albert Park,17 Reed St,3,h,278,PI,Marshall,28/08/2016,3.3,3206,3,2,2.0,147,134.0,1890.0,Port Phillip,-37.8448,144.9453,Southern Metropolitan,3280
76,119,Albert Park,9 Durham St,1,h,134,S,Marshall,30/07/2016,3.3,3206,1,1,0.0,81,54.0,1900.0,Port Phillip,-37.8411,144.9497,Southern Metropolitan,3280
77,120,Alphington,6 Smith St,4,h,328,S,Brace,3/9/2016,6.4,3078,3,2,4.0,853,263.0,1930.0,Darebin,-37.7707,145.0318,Northern Metropolitan,2211
78,123,Alphington,44 Shiers St,4,h,274,S,Collins,8/10/2016,6.4,3078,4,2,1.0,599,203.0,1925.0,Darebin,-37.7717,145.031,Northern Metropolitan,2211
79,124,Alphington,83 Fulham Rd,5,h,488,S,Nelson,12/6/2016,6.4,3078,5,4,4.0,809,165.0,1910.0,Darebin,-37.775,145.0268,Northern Metropolitan,2211
80,125,Alphington,3/19 Harker St,2,u,47,S,Miles,12/11/2016,6.4,3078,2,1,1.0,88,60.0,1960.0,Darebin,-37.7791,145.0306,Northern Metropolitan,2211
81,126,Alphington,4/2 Miller St,2,t,100,S,Miles,12/11/2016,6.4,3078,2,2,3.0,155,140.0,2004.0,Darebin,-37.7804,145.0308,Northern Metropolitan,2211
82,131,Alphington,10 Bennett St,4,h,296,S,Nelson,19/11/2016,6.4,3078,4,2,2.0,606,112.0,1970.0,Darebin,-37.7743,145.0316,Northern Metropolitan,2211
83,132,Alphington,38 Bennett St,4,h,347,S,Nelson,19/11/2016,6.4,3078,4,2,2.0,575,271.0,2008.0,Darebin,-37.7723,145.0319,Northern Metropolitan,2211
84,133,Alphington,2c Hamilton St,3,h,112,SP,hockingstuart,22/05/2016,6.4,3078,3,1,1.0,180,131.0,2010.0,Darebin,-37.7802,145.0243,Northern Metropolitan,2211
85,134,Alphington,5/5 Yarana Rd,2,u,21,VB,Nelson,22/05/2016,6.4,3078,2,1,1.0,0,60.0,1960.0,Darebin,-37.7773,145.0314,Northern Metropolitan,2211
86,136,Alphington,1/14 Fulham Rd,2,u,44,S,Love,25/02/2017,6.4,3078,2,1,1.0,0,61.0,1965.0,Darebin,-37.7805,145.0262,Northern Metropolitan,2211
87,138,Alphington,11 Margaret Gr,4,h,309,SP,McGrath,27/11/2016,6.4,3078,4,2,2.0,556,272.0,1930.0,Yarra,-37.7844,145.0225,Northern Metropolitan,2211
88,140,Alphington,42 Shiers St,4,h,318,S,Jellis,30/07/2016,6.4,3078,4,2,3.0,589,210.0,1920.0,Darebin,-37.7719,145.0309,Northern Metropolitan,2211
89,141,Altona,158 Queen St,3,h,46,VB,Greg,3/9/2016,13.8,3018,3,2,1.0,352,242.0,2015.0,Hobsons Bay,-37.87,144.825,Western Metropolitan,5301
90,142,Altona,59 Bracken Gr,5,h,237,S,Greg,3/12/2016,13.8,3018,5,3,3.0,729,268.0,2005.0,Hobsons Bay,-37.8721,144.8105,Western Metropolitan,5301
91,143,Altona,1/123 Blyth St,2,t,84,S,hockingstuart,4/2/2016,13.8,3018,2,1,2.0,292,125.0,2013.0,Hobsons Bay,-37.8687,144.8197,Western Metropolitan,5301
92,144,Altona,4 Blyth St,3,h,160,S,Barlow,4/3/2017,13.8,3018,3,1,2.0,506,120.0,1930.0,Hobsons Bay,-37.8693,144.8375,Western Metropolitan,5301
93,146,Altona,29 Rose St,4,h,286,SP,Greg,4/6/2016,13.8,3018,4,3,6.0,1057,220.0,1962.0,Hobsons Bay,-37.8681,144.819,Western Metropolitan,5301
94,147,Altona,1/170 Blyth St,3,u,67,S,Barlow,6/8/2016,13.8,3018,2,1,2.0,311,94.0,1955.0,Hobsons Bay,-37.8702,144.8143,Western Metropolitan,5301
95,149,Altona,156 Maidstone St,3,h,72,VB,Greg,7/5/2016,13.8,3018,3,1,1.0,602,123.0,1955.0,Hobsons Bay,-37.8616,144.8116,Western Metropolitan,5301
96,151,Altona,1/136 Queen St,2,u,57,S,Barlow,8/10/2016,13.8,3018,2,1,1.0,225,93.0,1988.0,Hobsons Bay,-37.8696,144.827,Western Metropolitan,5301
97,152,Altona,173 Queen St,3,h,201,S,hockingstuart,8/10/2016,13.8,3018,3,1,4.0,777,22.0,1953.0,Hobsons Bay,-37.8697,144.8249,Western Metropolitan,5301
98,154,Altona,3/26 Grieve Pde,2,u,44,S,Village,10/9/2016,13.8,3018,2,1,1.0,127,76.0,1990.0,Hobsons Bay,-37.8686,144.8182,Western Metropolitan,5301
99,156,Altona,4/5 Rose St,2,u,28,S,hockingstuart,10/9/2016,13.8,3018,2,1,2.0,115,57.0,1980.0,Hobsons Bay,-37.871,144.8185,Western Metropolitan,5301
100,158,Altona,1A Merritt Ct,3,t,81,S,hockingstuart,11/2/2017,13.8,3018,3,2,2.0,197,152.0,1970.0,Hobsons Bay,-37.8579,144.8181,Western Metropolitan,5301
101,159,Altona,4/31 Millers Rd,2,u,21,SP,Greg,11/2/2017,13.8,3018,2,1,1.0,0,65.0,1965.0,Hobsons Bay,-37.8678,144.8384,Western Metropolitan,5301
102,161,Altona,24 Wren St,4,h,108,S,hockingstuart,11/2/2017,13.8,3018,4,1,2.0,745,130.0,1950.0,Hobsons Bay,-37.8658,144.8155,Western Metropolitan,5301
103,162,Altona,1/152 Blyth St,3,t,88,SP,Gunn&Co,12/11/2016,13.8,3018,3,2,2.0,211,176.0,1970.0,Hobsons Bay,-37.8698,144.816,Western Metropolitan,5301
104,163,Altona,4/57 Blyth St,3,u,86,SP,Barlow,13/08/2016,13.8,3018,3,2,1.0,69,141.0,2014.0,Hobsons Bay,-37.868,144.8286,Western Metropolitan,5301
105,166,Altona,3/46 Sargood St,2,u,32,S,Burnham,15/10/2016,13.8,3018,2,1,1.0,137,77.0,1990.0,Hobsons Bay,-37.8655,144.8299,Western Metropolitan,5301
106,168,Altona,22 Fenfield St,3,h,76,S,hockingstuart,16/04/2016,13.8,3018,3,1,2.0,606,87.0,1950.0,Hobsons Bay,-37.8608,144.8124,Western Metropolitan,5301
107,169,Altona,5/8 David St,2,u,57,PI,Biggin,16/07/2016,13.8,3018,2,2,1.0,175,76.0,2013.0,Hobsons Bay,-37.8687,144.8268,Western Metropolitan,5301
108,171,Altona,27 McIntyre Dr,3,h,107,SP,Greg,18/03/2017,13.8,3018,3,2,2.0,534,136.0,1965.0,Hobsons Bay,-37.86,144.8245,Western Metropolitan,5301
109,175,Altona,3/20 Mulga St,3,u,57,S,Williams,23/04/2016,13.8,3018,3,2,1.0,205,113.0,2007.0,Hobsons Bay,-37.8684,144.815,Western Metropolitan,5301
110,179,Altona,104 Maidstone St,2,h,110,SP,hockingstuart,27/11/2016,13.8,3018,2,2,1.0,675,100.0,1950.0,Hobsons Bay,-37.8653,144.8129,Western Metropolitan,5301
111,181,Altona,5/57 Blyth St,3,u,86,SP,Barlow,28/05/2016,13.8,3018,3,2,1.0,70,3.0,2014.0,Hobsons Bay,-37.868,144.8285,Western Metropolitan,5301
112,185,Altona,2/60 David St,2,h,49,SP,Compton,30/07/2016,13.8,3018,2,1,1.0,154,91.0,1996.0,Hobsons Bay,-37.8646,144.8272,Western Metropolitan,5301
113,186,Altona North,45 Hearn St,5,h,153,S,FN,3/9/2016,11.1,3025,5,3,6.0,592,251.0,1965.0,Hobsons Bay,-37.8388,144.8567,Western Metropolitan,5132
114,187,Altona North,4 Knapp St,3,h,96,S,Jas,3/9/2016,11.1,3025,3,1,2.0,533,117.0,1970.0,Hobsons Bay,-37.8291,144.835,Western Metropolitan,5132
115,189,Altona North,3/66 Marion St,2,t,27,S,hockingstuart,4/3/2017,11.1,3025,2,1,1.0,77,77.0,2009.0,Hobsons Bay,-37.8351,144.8529,Western Metropolitan,5132
116,191,Altona North,33 Carthy St,3,h,77,S,FN,4/6/2016,11.1,3025,3,1,2.0,534,167.0,1967.0,Hobsons Bay,-37.8284,144.8355,Western Metropolitan,5132
117,193,Altona North,1/5 Little St,3,h,84,VB,Greg,6/8/2016,11.1,3025,3,2,1.0,0,130.0,2012.0,Hobsons Bay,-37.8379,144.8583,Western Metropolitan,5132
118,194,Altona North,1/95 Mills St,3,h,59,S,Williams,7/5/2016,11.1,3025,3,1,1.0,328,118.0,1970.0,Hobsons Bay,-37.838,144.8555,Western Metropolitan,5132
119,195,Altona North,5 Binns St,3,h,82,PI,Village,7/11/2016,11.1,3025,3,1,3.0,540,116.0,1960.0,Hobsons Bay,-37.8294,144.8378,Western Metropolitan,5132
120,196,Altona North,25 Allan St,4,h,113,SP,Jas,8/10/2016,11.1,3025,3,1,4.0,559,169.0,1965.0,Hobsons Bay,-37.8448,144.8529,Western Metropolitan,5132
121,200,Altona North,2/36 May St,3,h,75,S,hockingstuart,14/05/2016,11.1,3025,3,2,2.0,171,109.0,2012.0,Hobsons Bay,-37.8337,144.8554,Western Metropolitan,5132
122,201,Altona North,11 Beevers St,3,h,82,S,Greg,15/10/2016,11.1,3025,3,1,2.0,585,97.0,1960.0,Hobsons Bay,-37.8258,144.8523,Western Metropolitan,5132
123,204,Altona North,21 Neal Ct,3,h,93,SP,hockingstuart,19/11/2016,11.1,3025,3,1,3.0,602,603.0,1970.0,Hobsons Bay,-37.8327,144.8451,Western Metropolitan,5132
124,206,Altona North,252 Millers Rd,4,h,79,SP,Raine&Horne,22/05/2016,11.1,3025,4,2,4.0,315,170.0,2008.0,Hobsons Bay,-37.8391,144.8467,Western Metropolitan,5132
125,207,Altona North,1/156 Chambers Rd,3,h,65,SP,Hunter,22/08/2016,11.1,3025,5,2,2.0,276,100.0,2010.0,Hobsons Bay,-37.8262,144.8443,Western Metropolitan,5132
126,208,Altona North,2 Gadsden St,3,h,86,S,Jas,22/08/2016,11.1,3025,3,1,1.0,531,157.0,1960.0,Hobsons Bay,-37.8277,144.8385,Western Metropolitan,5132
127,209,Altona North,24 Hansen St,3,h,124,S,hockingstuart,22/08/2016,11.1,3025,3,2,1.0,590,160.0,1950.0,Hobsons Bay,-37.8382,144.8649,Western Metropolitan,5132
128,213,Altona North,6 Hill St,3,h,102,S,hockingstuart,25/02/2017,11.1,3025,3,2,3.0,555,130.0,1960.0,Hobsons Bay,-37.8318,144.8388,Western Metropolitan,5132
129,217,Altona North,5 Cresser St,4,h,175,SP,RT,27/11/2016,11.1,3025,4,1,4.0,633,158.0,1960.0,Hobsons Bay,-37.8375,144.8541,Western Metropolitan,5132
130,220,Altona North,4/221 Blackshaws Rd,2,u,2,S,Jas,28/08/2016,11.1,3025,2,1,1.0,153,70.0,1970.0,Hobsons Bay,-37.8332,144.8649,Western Metropolitan,5132
131,221,Armadale,8/19 Mercer Rd,2,u,61,S,Jellis,3/9/2016,6.3,3143,2,1,1.0,0,76.0,1964.0,Stonnington,-37.8543,145.0262,Southern Metropolitan,4836
132,223,Armadale,14/71 Denbigh Rd,3,u,136,S,Marshall,3/12/2016,6.3,3143,3,2,2.0,0,100.0,1998.0,Stonnington,-37.8552,145.016,Southern Metropolitan,4836
133,224,Armadale,4/769 High St,3,t,176,S,Jellis,3/12/2016,6.3,3143,3,2,2.0,101,105.0,2000.0,Stonnington,-37.854,145.0135,Southern Metropolitan,4836
134,225,Armadale,7 Llaneast St,3,h,316,S,Jellis,3/12/2016,6.3,3143,3,2,2.0,296,150.0,1889.0,Stonnington,-37.8614,145.0274,Southern Metropolitan,4836
135,227,Armadale,28 Cambridge St,3,h,303,S,Hodges,4/3/2017,6.3,3143,3,1,1.0,217,116.0,1888.0,Stonnington,-37.8592,145.0182,Southern Metropolitan,4836
136,229,Armadale,3/20 Mercer Rd,3,t,312,SP,Jellis,4/3/2017,6.3,3143,3,2,2.0,0,165.0,1995.0,Stonnington,-37.8537,145.0267,Southern Metropolitan,4836
137,231,Armadale,12 Willis St,3,h,337,S,Marshall,4/3/2017,6.3,3143,3,2,1.0,205,116.0,1910.0,Stonnington,-37.8574,145.0281,Southern Metropolitan,4836
138,236,Armadale,9/19 Mercer Rd,3,u,87,PI,Marshall,7/5/2016,6.3,3143,3,2,1.0,2113,14.0,1970.0,Stonnington,-37.8543,145.0262,Southern Metropolitan,4836
139,240,Armadale,10 William St,1,h,220,SP,Jellis,8/10/2016,6.3,3143,2,2,1.0,144,107.0,1900.0,Stonnington,-37.8564,145.0228,Southern Metropolitan,4836
140,241,Armadale,15/405 Dandenong Rd,1,u,0,PI,hockingstuart,10/9/2016,6.3,3143,1,1,1.0,0,38.0,1975.0,Stonnington,-37.8619,145.0185,Southern Metropolitan,4836
141,244,Armadale,8/58 Sutherland Rd,2,u,60,S,hockingstuart,10/12/2016,6.3,3143,2,1,1.0,0,73.0,1970.0,Stonnington,-37.8574,145.0174,Southern Metropolitan,4836
142,245,Armadale,40 New St,2,h,177,S,Marshall,12/11/2016,6.3,3143,2,1,0.0,249,96.0,1910.0,Stonnington,-37.8543,145.016,Southern Metropolitan,4836
143,246,Armadale,35 Northcote Rd,4,h,481,S,Marshall,12/11/2016,6.3,3143,4,2,2.0,624,222.0,1900.0,Stonnington,-37.8536,145.0173,Southern Metropolitan,4836
144,248,Armadale,791 High St,3,h,290,PI,RT,15/10/2016,6.3,3143,3,2,2.0,405,121.0,1910.0,Stonnington,-37.8545,145.0145,Southern Metropolitan,4836
